Unnamed: 0,Date,Close,High,Low,Open,Volume
813,2023-03-27,698.0,706.5,680.25,691.0,58958
812,2023-03-24,688.5,700.5,656.25,660.25,114498
811,2023-03-23,662.0,675.5,657.25,663.0,56070
810,2023-03-22,663.5,684.0,654.0,682.5,89216
809,2023-03-21,683.25,705.5,680.25,700.0,68061
808,2023-03-20,700.75,708.5,695.25,708.5,61276
807,2023-03-17,710.5,712.5,697.25,697.25,58006
806,2023-03-16,699.0,704.0,691.5,704.0,43894
805,2023-03-15,702.75,706.0,692.75,697.25,50727
804,2023-03-14,686.5,686.5,686.5,686.5,57958
803,2023-03-13,672.25,672.25,660.5,660.5,30
802,2023-03-10,666.75,666.75,662.25,662.25,42
801,2023-03-09,653.5,653.5,653.5,653.5,42
800,2023-03-08,674.5,674.5,674.5,674.5,30
799,2023-03-07,684.75,684.75,684.75,684.75,64
798,2023-03-06,682.5,692.25,682.5,690.75,20
797,2023-03-03,695.75,698.75,695.75,698.75,132
796,2023-03-02,701.25,706.5,701.25,702.5,170
795,2023-03-01,697.0,698.75,691.25,691.25,213
794,2023-02-28,691.5,699.5,687.0,694.0,1970
793,2023-02-27,696.0,710.0,691.25,708.25,24587
792,2023-02-24,708.25,741.0,703.0,740.5,29656
791,2023-02-23,738.25,745.0,734.25,735.5,29844
790,2023-02-22,736.5,754.0,733.0,751.75,38925
789,2023-02-21,750.5,773.25,749.5,765.75,49781
788,2023-02-17,765.5,771.5,759.5,765.0,32055
787,2023-02-16,765.0,771.5,762.25,767.5,34054
786,2023-02-15,769.25,787.25,766.75,786.0,55479
785,2023-02-14,786.0,797.5,783.5,790.0,64638
784,2023-02-13,792.0,796.0,776.0,789.0,88266
783,2023-02-10,786.0,790.0,755.0,755.0,109946
782,2023-02-09,757.25,770.5,754.75,764.75,75196
781,2023-02-08,764.75,766.0,747.75,750.0,90201
780,2023-02-07,749.75,757.0,744.25,750.0,70662
779,2023-02-06,750.25,766.5,745.5,758.0,56431
778,2023-02-03,756.75,776.5,750.75,759.75,72367
777,2023-02-02,761.0,770.75,750.5,757.5,59106
776,2023-02-01,759.75,762.5,744.5,760.75,60025
775,2023-01-31,761.25,766.75,742.0,752.5,59637
774,2023-01-30,752.5,762.5,743.5,753.0,43812
773,2023-01-27,750.0,753.25,744.25,752.25,41125
772,2023-01-26,752.5,758.0,738.0,741.0,47206
771,2023-01-25,741.25,746.5,734.75,735.0,41249
770,2023-01-24,734.5,739.0,719.75,720.5,44243
769,2023-01-23,720.0,740.5,712.5,738.0,63999
768,2023-01-20,741.5,743.0,727.75,735.0,35444
767,2023-01-19,734.5,748.75,733.5,741.75,39217
766,2023-01-18,742.5,760.25,740.25,749.0,45150
765,2023-01-17,751.75,755.75,728.75,742.5,48648
764,2023-01-13,743.75,748.5,737.25,743.5,34226
763,2023-01-12,742.75,747.25,723.0,739.0,64694
762,2023-01-11,740.0,742.25,724.5,730.25,37156
761,2023-01-10,731.0,742.5,720.5,741.25,59339
760,2023-01-09,741.5,758.0,740.25,748.0,45486
759,2023-01-06,743.5,756.75,742.5,748.5,28671
758,2023-01-05,746.75,752.0,736.0,746.0,36793
757,2023-01-04,745.5,780.5,744.25,780.5,51975
756,2023-01-03,775.5,794.5,769.75,786.0,50138
755,2022-12-30,792.0,799.0,771.5,775.5,34784
754,2022-12-29,774.0,786.5,765.5,785.0,35941
753,2022-12-28,785.5,787.5,770.75,774.5,33179
752,2022-12-27,774.5,784.5,769.0,781.25,28358
751,2022-12-23,776.0,778.0,758.0,762.0,25952
750,2022-12-22,762.25,777.0,758.0,766.75,34649
749,2022-12-21,767.75,774.5,748.75,750.0,52904
748,2022-12-20,750.5,761.5,744.75,747.25,38339
747,2022-12-19,748.5,759.75,738.75,755.0,39778
746,2022-12-16,753.5,764.25,750.75,758.25,32613
745,2022-12-15,757.25,767.0,745.0,749.75,51207
744,2022-12-14,728.25,728.25,728.25,728.25,41587
743,2022-12-13,728.75,742.5,728.75,741.0,103
742,2022-12-12,733.0,733.0,733.0,733.0,262
741,2022-12-09,712.75,712.75,712.75,712.75,53
740,2022-12-08,724.25,726.75,721.0,721.0,232
739,2022-12-07,727.0,728.75,727.0,727.25,409
738,2022-12-06,705.5,715.75,702.5,715.75,236
737,2022-12-05,715.5,730.5,715.5,730.5,129
736,2022-12-02,737.25,750.0,737.25,750.0,516
735,2022-12-01,758.75,767.5,757.25,767.5,841
734,2022-11-30,771.5,772.75,757.25,760.0,2247
733,2022-11-29,757.75,769.0,753.75,755.5,16739
732,2022-11-28,756.75,774.25,750.25,771.25,41776
731,2022-11-25,775.5,799.75,771.0,790.75,22496
730,2022-11-23,793.5,797.5,781.25,791.75,21445
729,2022-11-22,791.5,806.75,790.0,799.0,22214
728,2022-11-21,799.25,808.75,786.0,805.25,32913
727,2022-11-18,803.25,816.5,800.25,806.75,30557
726,2022-11-17,806.75,818.25,793.75,818.25,40772
725,2022-11-16,817.5,829.75,801.5,829.5,48018
724,2022-11-15,828.25,843.0,799.25,818.5,73685
723,2022-11-14,818.5,828.75,804.75,813.0,45112
722,2022-11-11,813.75,819.5,799.5,804.25,75488
721,2022-11-10,803.5,815.75,795.5,806.75,77215
720,2022-11-09,806.5,834.0,805.25,829.25,95226
719,2022-11-08,827.75,855.0,824.75,847.75,72922
718,2022-11-07,845.75,863.75,834.0,851.0,76862
717,2022-11-04,847.75,855.5,834.0,842.0,43974
716,2022-11-03,840.5,849.0,827.75,844.75,48030
715,2022-11-02,846.0,902.0,837.75,898.5,96131
714,2022-11-01,902.5,904.0,867.75,878.5,74354
713,2022-10-31,882.25,893.25,853.75,884.5,98975
712,2022-10-28,829.25,840.25,822.5,839.75,33954
711,2022-10-27,838.5,858.0,833.5,843.5,36089
710,2022-10-26,840.5,846.5,824.0,836.25,39250
709,2022-10-25,834.75,844.75,826.75,840.0,40775
708,2022-10-24,838.75,856.5,833.5,853.75,38013
707,2022-10-21,850.75,863.0,833.0,850.25,41911
706,2022-10-20,849.25,855.75,836.75,844.5,34078
705,2022-10-19,841.25,862.75,835.5,847.0,39811
704,2022-10-18,849.5,866.0,832.75,862.0,46278
703,2022-10-17,861.0,877.75,855.25,860.0,42651
702,2022-10-14,859.75,898.75,857.25,894.25,45071
701,2022-10-13,892.25,906.25,863.0,883.75,63574
700,2022-10-12,882.25,903.75,876.25,902.0,44744
699,2022-10-11,901.0,936.75,898.0,934.0,65146
698,2022-10-10,938.0,949.75,891.5,895.25,77244
697,2022-10-07,880.25,896.75,872.5,883.25,38141
696,2022-10-06,879.0,907.75,873.25,905.75,46423
695,2022-10-05,902.0,919.75,894.25,903.25,39955
694,2022-10-04,903.0,927.0,897.5,916.25,50521
693,2022-10-03,912.0,938.75,908.5,930.0,52399
692,2022-09-30,921.5,945.75,892.75,899.75,78137
691,2022-09-29,896.25,914.5,887.75,902.5,41358
690,2022-09-28,903.25,905.0,862.0,874.25,51296
689,2022-09-27,871.5,894.5,857.0,857.5,48803
688,2022-09-26,858.0,890.75,854.25,877.0,48793
687,2022-09-23,880.5,913.0,876.0,908.75,54237
686,2022-09-22,910.75,922.5,891.0,896.5,59590
685,2022-09-21,903.75,919.5,873.0,886.5,91297
684,2022-09-20,893.75,896.75,825.5,827.75,72771
683,2022-09-19,830.5,861.25,819.25,857.25,46375
682,2022-09-16,859.75,866.5,830.75,846.75,47239
681,2022-09-15,845.0,884.75,843.25,874.0,52974
680,2022-09-14,853.75,853.75,853.75,853.75,45623
679,2022-09-13,842.75,850.0,839.0,850.0,31
678,2022-09-12,841.25,852.5,837.0,852.5,54
677,2022-09-09,853.25,853.25,810.0,810.0,40
676,2022-09-08,810.5,816.5,805.5,815.0,306
675,2022-09-07,826.5,855.0,802.25,802.25,389
674,2022-09-06,800.0,800.75,794.25,795.5,386
673,2022-09-02,793.0,795.25,790.0,793.75,440
672,2022-09-01,775.5,806.0,773.0,802.75,1046
